parameter_code,parameter_name,state_name,anio,promedio_anual_estado
42101,Carbon monoxide,North Dakota,2024,0.16245630459595076
42101,Carbon monoxide,Ohio,2015,0.2597716142664414
42101,Carbon monoxide,Ohio,2016,0.28947902397714165
42101,Carbon monoxide,Ohio,2017,0.24741612281825706
42101,Carbon monoxide,Ohio,2018,0.2480821791774003
42101,Carbon monoxide,Ohio,2019,0.22420260772768574
42101,Carbon monoxide,Ohio,2020,0.26957883619797446
42101,Carbon monoxide,Ohio,2021,0.2718244608959793
42101,Carbon monoxide,Ohio,2022,0.22947297337777206
42101,Carbon monoxide,Ohio,2023,0.2502680185703674
42101,Carbon monoxide,Ohio,2024,0.24436863735532804
42101,Carbon monoxide,Oklahoma,2015,0.24178582289243922
42101,Carbon monoxide,Oklahoma,2016,0.2564537651871231
42101,Carbon monoxide,Oklahoma,2017,0.2677968738171826
42101,Carbon monoxide,Oklahoma,2018,0.2597402563620903
42101,Carbon monoxide,Oklahoma,2019,0.2491837888285162
42101,Carbon monoxide,Oklahoma,2020,0.3301538985155526
42101,Carbon monoxide,Oklahoma,2021,0.37323162680092253
42101,Carbon monoxide,Oklahoma,2022,0.3135504937531331
42101,Carbon monoxide,Oklahoma,2023,0.3415302377679287
42101,Carbon monoxide,Oklahoma,2024,0.33737966338726705
42101,Carbon monoxide,Oregon,2015,0.38274495139462456
42101,Carbon monoxide,Oregon,2016,0.3016531233430992
42101,Carbon monoxide,Oregon,2017,0.25604280036023563
42101,Carbon monoxide,Oregon,2018,0.32345333779651914
42101,Carbon monoxide,Oregon,2019,0.22155857102035356
42101,Carbon monoxide,Oregon,2020,0.32312041139218867
42101,Carbon monoxide,Oregon,2021,0.19584265017564131
42101,Carbon monoxide,Oregon,2022,0.20017634913803944
42101,Carbon monoxide,Oregon,2023,0.21058865306133936
42101,Carbon monoxide,Oregon,2024,0.18202697260917697
42101,Carbon monoxide,Pennsylvania,2015,0.30883081323754524
42101,Carbon monoxide,Pennsylvania,2016,0.29145177053929616
42101,Carbon monoxide,Pennsylvania,2017,0.2903764879475824
42101,Carbon monoxide,Pennsylvania,2018,0.3199805594000933
42101,Carbon monoxide,Pennsylvania,2019,0.32185019150598804
42101,Carbon monoxide,Pennsylvania,2020,0.3208194405638946
42101,Carbon monoxide,Pennsylvania,2021,0.3520571711039621
42101,Carbon monoxide,Pennsylvania,2022,0.33355908060082706
42101,Carbon monoxide,Pennsylvania,2023,0.3643889246617528
42101,Carbon monoxide,Pennsylvania,2024,0.3481830792131984
42101,Carbon monoxide,Puerto Rico,2015,0.605449554037096
42101,Carbon monoxide,Puerto Rico,2016,0.8214375072165613
42101,Carbon monoxide,Puerto Rico,2017,0.4086693477050027
42101,Carbon monoxide,Puerto Rico,2018,0.3652497340245552
42101,Carbon monoxide,Puerto Rico,2019,0.5074280773009489
42101,Carbon monoxide,Puerto Rico,2020,0.5217046252963806
42101,Carbon monoxide,Puerto Rico,2021,0.44726800745766715
42101,Carbon monoxide,Puerto Rico,2022,0.2259849089597756
42101,Carbon monoxide,Puerto Rico,2023,0.2235823230811989
42101,Carbon monoxide,Puerto Rico,2024,0.19450875301300116
42101,Carbon monoxide,Rhode Island,2015,0.4171928879586817
42101,Carbon monoxide,Rhode Island,2016,0.3915258930894765
42101,Carbon monoxide,Rhode Island,2017,0.3792269911162973
42101,Carbon monoxide,Rhode Island,2018,0.362115341999688
42101,Carbon monoxide,Rhode Island,2019,0.3700850999818562
42101,Carbon monoxide,Rhode Island,2020,0.34801856313329255
42101,Carbon monoxide,Rhode Island,2021,0.3528464500997864
42101,Carbon monoxide,Rhode Island,2022,0.19673491123574813
42101,Carbon monoxide,Rhode Island,2023,0.22844317613766657
42101,Carbon monoxide,Rhode Island,2024,0.22165930336032666
42101,Carbon monoxide,South Carolina,2015,0.15345734781246959
42101,Carbon monoxide,South Carolina,2016,0.1774389458682611
42101,Carbon monoxide,South Carolina,2017,0.18852946555760627
42101,Carbon monoxide,South Carolina,2018,0.12825154895108512
42101,Carbon monoxide,South Carolina,2019,0.09170981304117992
42101,Carbon monoxide,South Carolina,2020,-0.01882260826439252
42101,Carbon monoxide,South Carolina,2021,0.15733130354772185
42101,Carbon monoxide,South Carolina,2022,0.15517285174048823
42101,Carbon monoxide,South Carolina,2023,0.12523612414482688
42101,Carbon monoxide,South Carolina,2024,0.0945220345315076
42101,Carbon monoxide,South Dakota,2015,0.19669451460704598
42101,Carbon monoxide,South Dakota,2016,0.18896440811461257
42101,Carbon monoxide,South Dakota,2017,0.1830653909256629
42101,Carbon monoxide,South Dakota,2018,0.17736121725468162
42101,Carbon monoxide,South Dakota,2019,0.18247730465092474
42101,Carbon monoxide,South Dakota,2020,0.18392657904824308
42101,Carbon monoxide,South Dakota,2021,0.21776096628432962
42101,Carbon monoxide,Tennessee,2015,0.285807136720304
42101,Carbon monoxide,Tennessee,2016,0.26383036276334926
42101,Carbon monoxide,Tennessee,2017,0.2549514138103866
42101,Carbon monoxide,Tennessee,2018,0.26237444395693305
42101,Carbon monoxide,Tennessee,2019,0.24686403784122074
42101,Carbon monoxide,Tennessee,2020,0.21989917876584678
42101,Carbon monoxide,Tennessee,2021,0.24601596670366682
42101,Carbon monoxide,Tennessee,2022,0.26556491360496176
42101,Carbon monoxide,Tennessee,2023,0.2666238997033614
42101,Carbon monoxide,Tennessee,2024,0.28068247037888205
42101,Carbon monoxide,Texas,2015,0.26706170253870815
42101,Carbon monoxide,Texas,2016,0.2770819581881104
42101,Carbon monoxide,Texas,2017,0.31157927445480554
42101,Carbon monoxide,Texas,2018,0.30540169442866205
42101,Carbon monoxide,Texas,2019,0.28851235691826765
42101,Carbon monoxide,Texas,2020,0.27734880050859423
42101,Carbon monoxide,Texas,2021,0.302105862589969
42101,Carbon monoxide,Texas,2022,0.30454411084310895
42101,Carbon monoxide,Texas,2023,0.307579660296388
42101,Carbon monoxide,Texas,2024,0.3122549585738202
42101,Carbon monoxide,Utah,2015,0.40090693929599097
42101,Carbon monoxide,Utah,2016,0.4149852993148616
42101,Carbon monoxide,Utah,2017,0.3522863383042189
42101,Carbon monoxide,Utah,2018,0.23007693952436176
42101,Carbon monoxide,Utah,2019,0.15447665699908159
42101,Carbon monoxide,Utah,2020,0.12135595100221105
42101,Carbon monoxide,Utah,2021,0.20344049714097645
42101,Carbon monoxide,Utah,2022,0.1934835744543683
42101,Carbon monoxide,Utah,2023,0.1665951387679177
42101,Carbon monoxide,Utah,2024,0.16757964854502827
42101,Carbon monoxide,Vermont,2015,0.1673273372751741
42101,Carbon monoxide,Vermont,2016,0.1769708501622224
42101,Carbon monoxide,Vermont,2017,0.2217072051534241
42101,Carbon monoxide,Vermont,2018,0.2126970671612146
42101,Carbon monoxide,Vermont,2019,0.21970908516906665
42101,Carbon monoxide,Vermont,2020,0.19479855745854432
42101,Carbon monoxide,Vermont,2021,0.19583123428983298
42101,Carbon monoxide,Vermont,2022,0.07802972699235194
42101,Carbon monoxide,Vermont,2023,0.1269717561083258
42101,Carbon monoxide,Vermont,2024,0.1180024814203945
42101,Carbon monoxide,Virginia,2015,0.28358990192300165
42101,Carbon monoxide,Virginia,2016,0.23800813183336117
42101,Carbon monoxide,Virginia,2017,0.2400464866092326
42101,Carbon monoxide,Virginia,2018,0.2552943526997903
42101,Carbon monoxide,Virginia,2019,0.26256108143021845
42101,Carbon monoxide,Virginia,2020,0.24694452744508683
42101,Carbon monoxide,Virginia,2021,0.2606718201212702
42101,Carbon monoxide,Virginia,2022,0.23562090247611667
42101,Carbon monoxide,Virginia,2023,0.2703325290865872
42101,Carbon monoxide,Virginia,2024,0.20223368587905138
